% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
1012	1	1	6	0	2	65	0	1	1
1012	1	5	49	0	6	153	0	1	0
1012	1	3	58	0	6	153	0	1	0
1013	1	1	6	0	2	65	0	1	1
1013	1	5	49	0	6	153	0	1	0
1013	1	3	58	0	6	153	0	1	0
1014	1	1	6	0	2	65	0	1	1
1014	1	5	49	0	6	153	0	1	0
1014	1	3	58	0	6	153	0	1	0
1015	1	1	6	0	2	65	0	1	1
1015	1	5	49	0	6	153	0	1	0
1015	1	3	58	0	6	153	0	1	0
1016	1	1	6	0	2	65	0	1	1
1016	1	5	49	0	6	153	0	1	0
1016	1	3	58	0	6	153	0	1	0
1017	1	1	6	0	2	65	0	1	1
1017	1	5	49	0	6	153	0	1	0
1017	1	3	58	0	6	153	0	1	1
1019	1	1	6	0	28	1095	0	1	1
1027	1	3	58	0	6	209	0	1	1
1033	1	3	58	0	6	209	0	1	1
1045	1	3	58	0	28	1479	0	1	1
1055	2	17	21	0	28	2292	0	1	0
1055	2	19	62	0	28	2292	0	1	1
1056	3	25	123	0	28	1479	0	1	1
1060	3	25	123	0	28	1479	0	1	1
1067	2	19	62	0	28	2292	0	1	1
1075	2	19	62	0	28	2292	0	1	1
1081	2	19	62	0	28	2292	0	1	1
1083	3	25	123	0	28	1479	0	1	1
1091	2	19	62	0	28	2292	0	1	1
1100	2	19	62	0	28	2292	0	1	1
1106	1	1	6	0	28	1095	0	1	1
1106	1	3	58	0	28	1095	0	1	1
1114	3	25	123	0	28	1479	0	1	1
1131	3	25	123	0	28	1479	0	1	1
1136	2	19	62	0	28	2292	0	1	1
1139	3	25	123	0	28	1479	0	1	1
1156	2	17	21	0	28	2292	0	1	0
1156	2	19	62	0	28	2292	0	1	0
1156	3	25	123	0	28	1479	0	1	0
1157	3	25	123	0	28	1479	0	1	1
1160	3	25	123	0	28	1479	0	1	1
1176	1	5	49	0	6	325	0	1	1
1182	3	25	123	0	28	1479	0	1	1
1187	3	25	123	0	28	1479	0	1	1
1199	1	5	49	0	28	2292	0	1	1
1200	1	1	6	0	2	65	0	1	1
1200	1	5	49	0	28	1095	0	1	0
1200	1	3	58	0	6	153	0	1	0
1202	1	1	6	0	2	65	0	1	1
1202	1	5	49	0	28	1095	0	1	0
1202	1	3	58	0	6	153	0	1	0
1203	1	1	6	0	2	87	0	1	1
1203	1	3	58	0	6	209	0	1	0
1204	1	1	6	0	2	87	0	1	1
1204	1	3	58	0	6	209	0	1	0
1205	1	1	6	0	2	87	0	1	1
1205	1	3	58	0	6	209	0	1	0
1208	1	1	6	0	2	87	0	1	1
1209	1	1	6	0	2	87	0	1	0
1209	2	19	62	0	28	2292	0	1	0
1210	1	1	6	0	2	87	0	1	1
1211	1	1	6	0	2	87	0	1	1
1212	1	1	6	0	2	87	0	1	0
1212	2	19	62	0	28	2292	0	1	0
1213	1	1	6	0	2	87	0	1	1
1214	1	1	6	0	2	87	0	1	1
1215	1	1	6	0	28	1479	0	1	1
1225	3	25	123	0	28	1479	0	1	1
1242	3	25	123	0	28	1479	0	1	1
1248	3	25	123	0	28	1479	0	1	1
1249	3	25	123	0	28	1479	0	1	1
1251	3	25	123	0	28	1479	0	1	1
1262	3	25	123	0	28	1479	0	1	1
1271	3	25	123	0	28	1479	0	1	1
1282	3	25	123	0	28	1479	0	1	1
1289	3	25	123	0	28	1479	0	1	1
1292	3	25	123	0	28	1479	0	1	1
1294	1	1	6	0	2	65	0	1	1
1295	1	1	6	0	2	65	0	1	1
1297	1	1	6	0	2	65	0	1	1
1298	1	1	6	0	2	65	0	1	1
1298	3	25	123	0	28	1479	0	1	0
1299	1	1	6	0	2	65	0	1	1
1300	1	1	6	0	2	65	0	1	1
1301	1	1	6	0	28	1095	0	1	1
1307	2	17	21	0	28	2292	0	1	1
1318	2	17	21	0	28	2292	0	1	1
1335	1	5	49	0	6	209	0	1	1
1339	1	5	49	0	6	209	0	1	1
1342	1	5	49	0	28	1479	0	1	1
1346	2	17	21	0	28	2292	0	1	1
1350	2	17	21	0	28	2292	0	1	1
1350	2	19	62	0	28	2292	0	1	0
1357	2	17	21	0	28	2292	0	1	1
1357	2	19	62	0	28	2292	0	1	0
1361	2	17	21	0	28	2292	0	1	1
1368	2	17	21	0	28	2292	0	1	1
1370	2	17	21	0	28	2292	0	1	1
1375	2	17	21	0	28	2292	0	1	1
1388	1	1	6	0	28	1095	0	1	1
1388	1	5	49	0	28	1095	0	1	0
1388	1	3	58	0	6	153	0	1	0
1394	1	3	58	0	6	325	0	1	1
1407	1	3	58	0	28	2292	0	1	1
1409	2	17	21	0	28	2292	0	1	1
1420	3	25	123	0	28	1479	0	1	1
1435	3	25	123	0	28	1479	0	1	1
1437	1	3	58	0	28	2292	0	1	1
1442	2	17	21	0	28	2292	0	1	1
1443	2	17	21	0	28	2292	0	1	1
1451	2	17	21	0	28	2292	0	1	1
1452	2	17	21	0	28	2292	0	1	1
1453	3	25	123	0	28	1479	0	1	1
1459	3	25	123	0	28	1479	0	1	1
1470	3	25	123	0	28	1479	0	1	1
1476	3	25	123	0	28	1479	0	1	1
1482	1	1	6	0	2	65	0	1	1
1482	1	3	58	0	28	1095	0	1	0
1483	1	1	6	0	2	65	0	1	1
1483	1	3	58	0	28	1095	0	1	0
1484	1	1	6	0	2	87	0	1	1
1485	1	1	6	0	2	87	0	1	1
1486	1	1	6	0	2	87	0	1	1
1487	1	1	6	0	2	87	0	1	1
1489	1	1	6	0	2	87	0	1	1
1490	1	1	6	0	2	87	0	1	1
1491	1	1	6	0	28	1479	0	1	1
1494	3	25	123	0	28	1479	0	1	1
1505	2	17	21	0	28	2292	0	1	1
