% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.01	5	44	102	1	105	0	165	0	0
1.01	6	51	102	1	81	0	165	0	0
1.01	7	67	102	1	12	4	437	0	0
1.011	1	4	102	2	3	0	165	0	0
1.011	2	20	102	2	15	0	165	0	0
1.011	3	21	102	2	237	0	165	0	0
1.011	4	39	102	2	74	0	165	0	0
1.011	5	42	102	2	12	0	165	0	0
1.011	6	60	102	2	8	0	165	0	0
1.011	7	64	102	2	8	18	1980	0	0
1.012	1	1	102	3	6	0	165	0	0
1.012	2	17	102	3	21	0	165	0	0
1.012	3	23	102	3	23	0	165	0	0
1.012	4	40	102	3	33	0	165	0	0
1.012	5	43	102	3	23	0	165	0	0
1.012	6	57	102	3	1	0	165	0	0
1.012	7	69	102	3	1	16	1836	0	0
1.013	1	8	102	4	7	0	165	0	0
1.013	2	11	102	4	34	0	165	0	0
1.013	3	30	102	4	59	0	165	0	0
1.013	4	38	102	4	37	0	165	0	0
1.013	5	45	102	4	33	0	165	0	0
1.013	6	58	102	4	2	0	165	0	0
1.013	7	63	102	4	3	14	1527	0	0
1.014	1	7	102	5	8	0	165	0	0
1.014	2	18	102	5	36	0	165	0	0
1.014	3	27	102	5	65	0	165	0	0
1.014	4	37	102	5	42	0	165	0	0
1.014	5	50	102	5	45	0	165	0	0
1.014	6	59	102	5	3	0	165	0	0
1.014	7	70	102	5	2	12	1191	0	0
1.015	1	10	102	6	15	0	165	0	0
1.015	2	15	102	6	99	0	165	0	0
1.015	3	29	102	6	85	0	165	0	0
1.015	4	39	102	6	74	0	165	0	0
1.015	5	49	102	6	67	0	165	0	0
1.015	6	60	102	6	8	0	165	0	0
1.015	7	61	102	6	7	10	935	0	0
1.016	1	2	102	7	19	0	165	0	0
1.016	2	14	102	7	108	0	165	0	0
1.016	3	24	102	7	94	0	165	0	0
1.016	4	34	102	7	89	0	165	0	0
1.016	5	47	102	7	49	0	165	0	0
1.016	6	53	102	7	12	0	165	0	0
1.016	7	68	102	7	5	4	437	0	0
1.017	1	9	102	8	23	0	165	0	0
1.017	2	16	102	8	44	0	165	0	0
1.017	3	26	102	8	102	0	165	0	0
1.017	4	31	102	8	93	0	165	0	0
1.017	5	46	102	8	56	0	165	0	0
1.017	6	52	102	8	30	0	165	0	0
1.017	7	66	102	8	11	4	437	0	0
1.018	1	5	102	9	49	0	165	0	0
1.018	2	19	102	9	62	0	165	0	0
1.018	3	25	102	9	123	0	165	0	0
1.018	4	32	102	9	110	0	165	0	0
1.018	5	41	102	9	58	0	165	0	0
1.018	6	55	102	9	40	0	165	0	0
1.018	7	67	102	9	12	4	437	0	0
1.019	1	3	102	10	58	0	165	0	0
1.019	2	12	102	10	73	0	165	0	0
1.019	3	22	102	10	160	0	165	0	0
1.019	4	36	102	10	121	0	165	0	0
1.019	5	49	102	10	67	0	165	0	0
1.019	6	56	102	10	54	0	165	0	0
1.019	7	65	102	10	4	6	621	0	0
1.02	1	8	103	1	7	0	165	0	0
1.02	2	15	103	1	99	0	165	0	0
1.02	3	28	103	1	219	0	165	0	0
1.02	4	33	103	1	126	0	165	0	0
1.02	5	48	103	1	77	0	165	0	0
1.02	6	54	103	1	55	0	165	0	0
1.02	7	62	103	1	6	6	621	0	0
1.021	1	6	103	2	59	0	165	0	0
1.021	2	14	103	2	108	0	165	0	0
1.021	3	21	103	2	237	0	165	0	0
1.021	4	35	103	2	145	0	165	0	0
1.021	5	44	103	2	105	0	165	0	0
1.021	6	51	103	2	81	0	165	0	0
1.021	7	64	103	2	8	18	1980	0	0
1.022	1	4	103	3	3	0	165	0	0
1.022	2	13	103	3	116	0	165	0	0
1.022	3	29	103	3	85	0	165	0	0
1.022	4	40	103	3	33	0	165	0	0
1.022	5	42	103	3	12	0	165	0	0
1.022	6	57	103	3	1	0	165	0	0
1.022	7	69	103	3	1	16	1836	0	0
1.023	1	2	103	4	19	0	165	0	0
1.023	2	20	103	4	15	0	165	0	0
1.023	3	23	103	4	23	0	165	0	0
1.023	4	38	103	4	37	0	165	0	0
1.023	5	43	103	4	23	0	165	0	0
1.023	6	58	103	4	2	0	165	0	0
1.023	7	63	103	4	3	14	1527	0	0
1.024	1	1	103	5	6	0	165	0	0
1.024	2	17	103	5	21	0	165	0	0
1.024	3	30	103	5	59	0	165	0	0
1.024	4	37	103	5	42	0	165	0	0
1.024	5	45	103	5	33	0	165	0	0
1.024	6	59	103	5	3	0	165	0	0
1.024	7	70	103	5	2	12	1191	0	0
1.025	1	8	103	6	7	0	165	0	0
1.025	2	11	103	6	34	0	165	0	0
1.025	3	27	103	6	65	0	165	0	0
1.025	4	39	103	6	74	0	165	0	0
1.025	5	50	103	6	45	0	165	0	0
1.025	6	60	103	6	8	0	165	0	0
1.025	7	61	103	6	7	10	935	0	0
1.026	1	7	103	7	8	0	165	0	0
1.026	2	18	103	7	36	0	165	0	0
1.026	3	29	103	7	85	0	165	0	0
1.026	4	34	103	7	89	0	165	0	0
1.026	5	47	103	7	49	0	165	0	0
1.026	6	53	103	7	12	0	165	0	0
1.026	7	68	103	7	5	4	437	0	0
1.027	1	10	103	8	15	0	165	0	0
1.027	2	16	103	8	44	0	165	0	0
1.027	3	24	103	8	94	0	165	0	0
1.027	4	31	103	8	93	0	165	0	0
1.027	5	46	103	8	56	0	165	0	0
1.027	6	52	103	8	30	0	165	0	0
1.027	7	66	103	8	11	4	437	0	0
1.028	1	2	103	9	19	0	165	0	0
1.028	2	19	103	9	62	0	165	0	0
1.028	3	26	103	9	102	0	165	0	0
1.028	4	32	103	9	110	0	165	0	0
1.028	5	41	103	9	58	0	165	0	0
1.028	6	55	103	9	40	0	165	0	0
1.028	7	67	103	9	12	4	437	0	0
1.029	1	9	103	10	23	0	165	0	0
1.029	2	12	103	10	73	0	165	0	0
1.029	3	25	103	10	123	0	165	0	0
1.029	4	36	103	10	121	0	165	0	0
1.029	5	49	103	10	67	0	165	0	0
1.029	6	56	103	10	54	0	165	0	0
1.029	7	65	103	10	4	6	621	0	0
1.03	1	5	104	1	49	0	165	0	0
1.03	2	15	104	1	99	0	165	0	0
1.03	3	22	104	1	160	0	165	0	0
1.03	4	33	104	1	126	0	165	0	0
1.03	5	48	104	1	77	0	165	0	0
1.03	6	54	104	1	55	0	165	0	0
1.03	7	62	104	1	6	6	621	0	0
1.031	1	3	104	2	58	0	165	0	0
1.031	2	14	104	2	108	0	165	0	0
1.031	3	28	104	2	219	0	165	0	0
1.031	4	35	104	2	145	0	165	0	0
1.031	5	44	104	2	105	0	165	0	0
1.031	6	51	104	2	81	0	165	0	0
1.031	7	64	104	2	8	18	1980	0	0
1.032	1	6	104	3	59	0	165	0	0
1.032	2	13	104	3	116	0	165	0	0
1.032	3	21	104	3	237	0	165	0	0
1.032	4	40	104	3	33	0	165	0	0
1.032	5	42	104	3	12	0	165	0	0
1.032	6	57	104	3	1	0	165	0	0
1.032	7	69	104	3	1	16	1836	0	0
1.033	1	4	104	4	3	0	165	0	0
1.033	2	20	104	4	15	0	165	0	0
1.033	3	23	104	4	23	0	165	0	0
1.033	4	38	104	4	37	0	165	0	0
1.033	5	43	104	4	23	0	165	0	0
1.033	6	58	104	4	2	0	165	0	0
1.033	7	63	104	4	3	14	1527	0	0
1.034	1	1	104	5	6	0	165	0	0
